2019-09-16 18:04:28,935 INFO com.bank.AtmApplication [main] Starting AtmApplication on Bonggals-MacBook-Pro.local with PID 49337 (/Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3/target/classes started by bonggalbaringinsiahaan in /Users/bonggalbaringinsiahaan/Documents/G2Academy/Proyek/Project/Program3)
2019-09-16 18:17:18,314 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,341 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,378 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,413 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,445 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,476 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,511 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,536 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,562 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,601 INFO com.bank.controller.TransferController [http-nio-8081-exec-3] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,638 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,680 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,708 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,732 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,758 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,798 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,856 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,892 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,925 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,949 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:18,974 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,005 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,051 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,094 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,127 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,153 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,177 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,203 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,232 INFO com.bank.controller.TransferController [http-nio-8081-exec-1] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,259 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,297 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,334 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,372 INFO com.bank.controller.TransferController [http-nio-8081-exec-7] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,405 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,439 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,467 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,505 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,545 INFO com.bank.controller.TransferController [http-nio-8081-exec-5] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,576 INFO com.bank.controller.TransferController [http-nio-8081-exec-6] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,602 INFO com.bank.controller.TransferController [http-nio-8081-exec-8] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,630 INFO com.bank.controller.TransferController [http-nio-8081-exec-9] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,658 INFO com.bank.controller.TransferController [http-nio-8081-exec-10] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,697 INFO com.bank.controller.TransferController [http-nio-8081-exec-2] Receive transfer inquiry from account '1', amount: '13001'
2019-09-16 18:17:19,736 INFO com.bank.controller.TransferController [http-nio-8081-exec-4] Receive transfer inquiry from account '1', amount: '13001'
